0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125;4891.6953125
4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125
4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125;4861.6953125
4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125;4573.6953125
4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125;4837.6953125
4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125;4523.6953125
4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125;4865.6953125
4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125;4855.6953125
4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625;4559.697265625
4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625;4829.697265625
4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125;4421.6953125
