0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820;892820
850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745;850745
878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276;878276
877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227;877227
876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456;876456
866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763;866763
858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800;858800
860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945;860945
868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931;868931
883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683;883683
867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026;867026
